participant,group,generation,estimate
0,confederate,1,15.8
1,experimental,1,12.2
1,experimental,2,12.8
2,experimental,2,12.1
2,experimental,3,9.8
3,experimental,3,9.7
3,experimental,4,7.6
4,experimental,4,7.5
4,experimental,5,6.2
5,experimental,5,6.8
5,experimental,6,4.9
6,experimental,6,5
6,experimental,7,4.6
7,experimental,7,4.1
7,experimental,8,3.8
8,experimental,8,5.1
8,experimental,9,4.4
9,control,1,4
9,control,2,3.7
10,control,2,4
10,control,3,3.7
11,control,3,4
11,control,4,3.7
12,control,4,4
12,control,5,3.7
13,control,5,4
13,control,6,3.7
14,control,6,4
14,control,7,3.7
15,control,7,4
15,control,8,3.7
16,control,8,4
16,control,9,3.7
